"digit","coefficients","std_errors","t_values","p_values"
"digit2",211.993404737741,15.2411376304914,13.9092900987671,1.0194378901354e-10
"digit5",-2.85334658459816,0.458273981865192,-6.226289725166,9.21228131494003e-06
"digit8",0.0272950557050743,0.00320537541213458,8.51540059917584,1.54408867064857e-07
"digit9",-6.28178088907636e-05,5.68937234115717e-06,-11.0412546628978,3.55747773137933e-09
"digit2",236.637630119251,8.38728932723933,28.2138389277601,1.0171533564421e-15
"digit5",-1.92167685363138,0.252190917124174,-7.61992888381931,7.03555817267788e-07
"digit8",0.0166336690302592,0.00176393728839551,9.42985282962601,3.63474386615931e-08
"digit9",-3.48991492426553e-05,3.13089567672512e-06,-11.1466982123018,3.08349399906931e-09
"digit2",187.97937118928,17.081805117154,11.0046549471816,3.73941558807287e-09
"digit5",-1.44061905456232,0.513619589184891,-2.80483666296406,0.0121807606572914
"digit8",0.0128802984334146,0.00359248761115182,3.5853424778506,0.00228030176686861
"digit9",-2.52206327957743e-05,6.37647608247729e-06,-3.95526188282604,0.00102161534905849
"digit2",189.566319126731,13.721624940931,13.8151508981464,1.13406260966017e-10
"digit5",-2.39525446528764,0.412584929799523,-5.80548219842036,2.10903380331818e-05
"digit8",0.0201044569702382,0.00288580552623582,6.96667075707697,2.27332640706364e-06
"digit9",-4.03379446108005e-05,5.1221526442018e-06,-7.87519377355193,4.51827925193167e-07
