Accuracy,Epoch
0.910909116268158,1
0.9455909132957458,2
0.932590901851654,3
0.9548181891441345,4
0.9495000243186951,5
0.9518181681632996,6
0.9611818194389343,7
0.9569091200828552,8
0.9604091048240662,9
0.9649545550346375,10
0.9088636636734009,11
0.9595909118652344,12
0.9660454392433167,13
0.9669091105461121,14
0.9601818323135376,15
0.9564090967178345,16
0.9591363668441772,17
0.9666363596916199,18
0.9606363773345947,19
0.9679545164108276,20
0.9660909175872803,21
0.9630908966064453,22
0.9682272672653198,23
0.9618181586265564,24
0.963272750377655,25
0.964090883731842,26
0.9714999794960022,27
0.966772735118866,28
0.9608636498451233,29
0.9696817994117737,30
0.9702273011207581,31
0.9570909142494202,32
0.9588181972503662,33
0.9643181562423706,34
0.9706818461418152,35
0.9642727375030518,36
0.9684545397758484,37
0.9684090614318848,38
0.9657727479934692,39
0.9729999899864197,40
0.9644091129302979,41
0.9642727375030518,42
0.9672726988792419,43
0.9708181619644165,44
0.9678636193275452,45
0.9672272801399231,46
0.9576363563537598,47
0.9695000052452087,48
0.9696817994117737,49
0.9686363339424133,50
