Loss,Epoch
0.3147988021373749,1
0.21295616030693054,2
0.25935396552085876,3
0.1829024851322174,4
0.20245075225830078,5
0.23592141270637512,6
0.1688803881406784,7
0.18841825425624847,8
0.16173744201660156,9
0.14499995112419128,10
0.29263460636138916,11
0.18415315449237823,12
0.14996978640556335,13
0.15077364444732666,14
0.1841643899679184,15
0.19399671256542206,16
0.16495031118392944,17
0.15169253945350647,18
0.17420309782028198,19
0.15268294513225555,20
0.15072275698184967,21
0.1622609943151474,22
0.14085692167282104,23
0.18039879202842712,24
0.16084422171115875,25
0.17398251593112946,26
0.1335940957069397,27
0.1558658480644226,28
0.1666654348373413,29
0.1350904256105423,30
0.14551278948783875,31
0.17954331636428833,32
0.19675947725772858,33
0.16435974836349487,34
0.15657846629619598,35
0.16427814960479736,36
0.15439659357070923,37
0.15227816998958588,38
0.16149917244911194,39
0.13687777519226074,40
0.1633094996213913,41
0.16450516879558563,42
0.15502844750881195,43
0.14420580863952637,44
0.1662231832742691,45
0.1430586278438568,46
0.22923284769058228,47
0.16076333820819855,48
0.2449493557214737,49
0.19909678399562836,50
