"X2","X0.833652565003513","X0.599520936729924"
2,0.833652565003513,0.599520936729924
3,0.833545668453659,0.599736240994296
5,0.877806956105175,0.602394372426605
10,0.897348799034493,0.605288034792735
20,0.927333649533489,0.593071498253776
40,0.96004153616433,0.611811370032018
50,0.981483028336278,0.612119256015423
60,0.983254573890713,0.625717405018941
80,0.979885949031156,0.602292921696174
100,0.985394386131159,0.616386522966266
120,0.985288357603867,0.637995687239886
140,0.986123334906937,0.610213004523606
150,0.986794003853368,0.619463867784046
160,0.986722883547695,0.640510282311199
180,0.987246267453284,0.625367291958131
200,0.987266084567063,0.630504484122439
250,0.993643895415343,0.661302682553915
300,0.994367324226115,0.702826354205214
310,0.999586076948228,0.749049053202901
320,0.999590990490585,0.757161188084273
330,0.999732675541433,0.819817828787592
340,0.999878384185923,0.847405485995474
350,1,1
